-0.0069275,-0.0085602,-0.0072174,-0.0082703,-0.0090485,-0.0072327
-0.0077209,-0.008606,-0.0083008,-0.01091,-0.011063,-0.0087891
-0.0085754,-0.0088196,-0.0103,-0.011795,-0.011429,-0.010544
-0.010635,-0.010529,-0.011414,-0.012222,-0.011932,-0.011673
-0.012268,-0.011887,-0.011185,-0.012894,-0.012451,-0.012405
-0.011032,-0.011002,-0.010849,-0.012131,-0.0121,-0.011871
-0.0094147,-0.0091858,-0.0096588,-0.010635,-0.011322,-0.010941
-0.0086365,-0.0074921,-0.0085297,-0.009491,-0.010498,-0.010086
-0.007782,-0.0066376,-0.0078583,-0.0082703,-0.0089264,-0.0089722
-0.0079956,-0.0066528,-0.0060425,-0.0064545,-0.0062714,-0.0081787
-0.0089722,-0.0060425,-0.0043335,-0.0046539,-0.0045319,-0.0074005
-0.0088501,-0.0058441,-0.0034943,-0.0034943,-0.0045776,-0.0063019
-0.0071564,-0.0063324,-0.0036469,-0.0032806,-0.0049896,-0.0060425
-0.0056458,-0.0058441,-0.0044403,-0.0027771,-0.0045013,-0.0065155
-0.0054626,-0.0053101,-0.0046692,-0.0023956,-0.0036926,-0.006485
-0.0055695,-0.0050659,-0.0037537,-0.0036316,-0.0037384,-0.0059357
-0.0057373,-0.0042877,-0.0026703,-0.0032196,-0.0034485,-0.0048676
-0.0056,-0.0043793,-0.0028839,-0.00177,-0.0032349,-0.0043945
-0.0055084,-0.0058594,-0.0036621,-0.0027466,-0.0035095,-0.0043182
-0.0056458,-0.007431,-0.0054474,-0.0044556,-0.0036926,-0.0040131
-0.0056305,-0.007843,-0.0072479,-0.0055237,-0.0043488,-0.0049896
-0.0071716,-0.0070801,-0.0068054,-0.0050964,-0.0045624,-0.0057831
-0.0081635,-0.0069122,-0.0062714,-0.004364,-0.0046692,-0.0055847
-0.0067291,-0.0072174,-0.0061798,-0.0048676,-0.0042572,-0.0052643
-0.0051422,-0.0055847,-0.0045319,-0.0041809,-0.0027466,-0.0044098
-0.0039673,-0.0031128,-0.0021057,-0.0020294,-0.00177,-0.0033112
-0.003067,-0.0020752,-0.00045776,0.00021362,-0.00097656,-0.0023041
-0.0028381,-0.0016174,0.00022888,0.0016632,0.00057983,-0.0016022
-0.0028534,-0.0014954,0.0010834,0.0019989,0.0010529,-0.0013275
-0.0020447,-0.0014648,0.0013123,0.0012512,-0.0004425,-0.0011902
-0.0012512,-0.001236,-0.00027466,-0.00082397,-0.0012665,-0.0012665
-0.0021667,-0.0022125,-0.0021362,-0.0030975,-0.0025635,-0.0023651
-0.0038757,-0.004364,-0.0039825,-0.0049744,-0.0045319,-0.003418
-0.0046997,-0.0056458,-0.0050659,-0.0055847,-0.0044556,-0.0037384
-0.0047302,-0.0054169,-0.0042725,-0.0044861,-0.0038452,-0.00354
-0.0043488,-0.0046844,-0.0032806,-0.0026703,-0.0029907,-0.0023956
-0.0031433,-0.0032959,-0.0023956,-0.00094604,-0.0017395,-0.0014954
-0.0015564,-0.0022888,-0.0014343,-0.00047302,-0.0009613,-0.00082397
